Time,AQI,PM2.5,PM10,SO2,NO2,O3,O3_8h,CO,AT,ATM,WDIR,WFS,PRCP,RH,AQI.1
2020/5/16 17:00,43.0,12.0,27.0,6.0,15.0,137.0,125.0,0.35,27.0,338.0,360.0,2.0,0.0,12.0,43.0
2020/5/16 18:00,43.0,11.0,33.0,6.0,15.0,137.0,132.0,0.47,27.0,309.0,315.0,2.0,0.0,12.0,43.0
2020/5/16 19:00,41.0,11.0,39.0,6.0,18.0,132.0,133.0,0.43,25.0,5.0,360.0,2.0,0.0,14.0,42.0
2020/5/16 20:00,45.0,19.0,45.0,6.0,27.0,117.0,130.0,0.42,24.0,286.0,270.0,2.0,0.0,19.0,45.0
2020/5/16 20:00,45.0,19.0,45.0,6.0,27.0,117.0,130.0,0.42,24.0,286.0,270.0,2.0,0.0,19.0,45.0
2020/5/16 21:00,51.0,24.0,51.0,6.0,34.0,100.0,127.0,0.43,20.0,243.0,225.0,2.0,0.0,20.0,51.0
2020/5/16 21:00,51.0,24.0,51.0,6.0,34.0,100.0,127.0,0.43,20.0,243.0,225.0,2.0,0.0,20.0,51.0
2020/5/16 22:00,59.0,27.0,68.0,6.0,61.0,63.0,119.0,0.58,20.0,74.0,90.0,1.0,0.0,28.0,59.0
2020/5/16 22:00,59.0,27.0,68.0,6.0,61.0,63.0,119.0,0.58,20.0,74.0,90.0,1.0,0.0,28.0,59.0
2020/5/16 23:00,62.0,32.0,74.0,6.0,85.0,24.0,106.0,0.7,18.0,251.0,270.0,2.0,0.0,34.0,62.0
2020/5/16 23:00,62.0,32.0,74.0,6.0,85.0,24.0,106.0,0.7,18.0,251.0,270.0,2.0,0.0,34.0,62.0
2020/5/17 0:00,70.0,32.0,90.0,8.0,92.0,11.0,90.0,0.77,16.0,245.0,225.0,2.0,0.0,33.0,70.0
2020/5/17 0:00,70.0,32.0,90.0,8.0,92.0,11.0,90.0,0.77,16.0,245.0,225.0,2.0,0.0,33.0,70.0
2020/5/17 1:00,68.0,29.0,85.0,8.0,88.0,9.0,9.0,0.72,15.0,141.0,135.0,1.0,0.0,39.0,68.0
2020/5/17 1:00,68.0,29.0,85.0,8.0,88.0,9.0,9.0,0.72,15.0,141.0,135.0,1.0,0.0,39.0,68.0
2020/5/17 2:00,75.0,26.0,100.0,8.0,80.0,9.0,9.0,0.63,14.0,146.0,135.0,1.0,0.0,43.0,75.0
2020/5/17 2:00,75.0,26.0,100.0,8.0,80.0,9.0,9.0,0.63,14.0,146.0,135.0,1.0,0.0,43.0,75.0
2020/5/17 3:00,81.0,25.0,111.0,12.0,77.0,8.0,9.0,0.85,14.0,318.0,315.0,2.0,0.0,45.0,81.0
2020/5/17 3:00,81.0,25.0,111.0,12.0,77.0,8.0,9.0,0.85,14.0,318.0,315.0,2.0,0.0,45.0,81.0
2020/5/17 4:00,77.0,29.0,103.0,14.0,72.0,8.0,9.0,0.8,13.0,236.0,225.0,1.0,0.0,48.0,77.0
2020/5/17 4:00,77.0,29.0,103.0,14.0,72.0,8.0,9.0,0.8,13.0,236.0,225.0,1.0,0.0,48.0,77.0
2020/5/17 5:00,77.0,31.0,103.0,16.0,68.0,8.0,8.0,0.73,12.0,268.0,270.0,1.0,0.0,50.0,77.0
2020/5/17 5:00,77.0,31.0,103.0,16.0,68.0,8.0,8.0,0.73,12.0,268.0,270.0,1.0,0.0,50.0,77.0
2020/5/17 6:00,78.0,32.0,106.0,25.0,65.0,8.0,8.0,0.9,12.0,299.0,315.0,1.0,0.0,50.0,78.0
2020/5/17 6:00,78.0,32.0,106.0,25.0,65.0,8.0,8.0,0.9,12.0,299.0,315.0,1.0,0.0,50.0,78.0
2020/5/17 7:00,89.0,37.0,128.0,26.0,66.0,10.0,9.0,1.35,13.0,279.0,270.0,1.0,0.0,49.0,89.0
2020/5/17 7:00,89.0,37.0,128.0,26.0,66.0,10.0,9.0,1.35,13.0,279.0,270.0,1.0,0.0,49.0,89.0
2020/5/17 8:00,98.0,37.0,145.0,25.4,68.0,17.0,10.0,1.2966666666666669,16.0,80.0,90.0,1.0,0.0,41.0,98.0
2020/5/17 8:00,98.0,37.0,145.0,24.8,68.0,17.0,10.0,1.2433333333333334,16.0,80.0,90.0,1.0,0.0,41.0,98.0
2020/5/17 9:00,87.0,38.0,123.0,24.2,71.0,38.0,12.0,1.19,18.0,88.0,90.0,1.0,0.0,33.0,87.0
2020/5/17 9:00,87.0,38.0,123.0,23.6,71.0,38.0,12.0,1.1366666666666667,18.0,88.0,90.0,1.0,0.0,33.0,87.0
2020/5/17 9:00,87.0,38.0,123.0,23.0,71.0,38.0,12.0,1.0833333333333335,19.5,88.0,90.0,1.0,0.0,30.0,87.0
2020/5/17 10:00,68.0,30.0,85.0,22.4,64.0,64.0,19.0,1.03,21.0,59.0,45.0,2.0,0.0,27.0,68.0
2020/5/17 10:00,68.0,30.0,85.0,21.8,64.0,64.0,19.0,1.03,21.0,59.0,45.0,2.0,0.0,27.0,68.0
2020/5/17 11:00,61.0,29.0,72.0,21.2,53.0,99.0,31.0,0.88,23.0,15.0,360.0,1.0,0.0,22.0,61.0
2020/5/17 11:00,61.0,29.0,72.0,20.6,53.0,99.0,31.0,0.88,23.0,15.0,360.0,1.0,0.0,22.0,61.0
2020/5/17 12:00,90.0,25.0,130.0,20.0,32.0,132.0,47.0,0.63,25.0,308.0,315.0,2.0,0.0,13.0,90.0
2020/5/17 12:00,90.0,25.0,130.0,20.0,32.0,132.0,47.0,0.63,25.0,308.0,315.0,2.0,0.0,13.0,90.0
2020/5/17 13:00,87.0,24.0,123.0,12.0,25.0,147.0,65.0,0.57,27.0,351.0,360.0,2.0,0.0,13.0,87.0
2020/5/17 13:00,87.0,24.0,123.0,12.0,25.0,147.0,65.0,0.57,27.0,351.0,360.0,2.0,0.0,13.0,87.0
2020/5/17 14:00,70.0,24.0,90.0,10.0,20.0,153.0,84.0,0.47,29.0,341.0,360.0,2.0,0.0,13.0,70.0
2020/5/17 14:00,70.0,24.0,90.0,10.0,20.0,153.0,84.0,0.47,29.0,341.0,360.0,2.0,0.0,13.0,70.0
2020/5/17 15:00,69.0,22.0,88.0,9.0,19.0,152.0,103.0,0.45,30.0,339.0,360.0,2.0,0.0,10.0,69.0
2020/5/17 15:00,69.0,22.0,88.0,9.0,19.0,152.0,103.0,0.45,30.0,339.0,360.0,2.0,0.0,10.0,69.0
2020/5/17 16:00,65.0,20.0,79.0,7.0,16.0,151.0,120.0,0.38,30.0,4.0,360.0,2.0,0.0,9.0,64.0
2020/5/17 16:00,65.0,20.0,79.0,7.0,16.0,151.0,120.0,0.38,30.0,4.0,360.0,2.0,0.0,9.0,64.0
2020/5/17 17:00,98.0,24.0,145.0,7.0,13.0,139.0,130.0,0.45,29.0,32.0,45.0,2.0,0.0,7.0,97.0
2020/5/17 17:00,98.0,24.0,145.0,7.0,13.0,139.0,130.0,0.45,29.0,32.0,45.0,2.0,0.0,7.0,97.0
2020/5/17 17:00,98.0,24.0,145.0,7.0,13.0,139.0,130.0,0.45,29.0,32.0,45.0,2.0,0.0,7.0,97.0
2020/5/17 18:00,114.0,30.0,148.0,6.0,15.0,120.0,136.0,0.47,26.0,17.0,360.0,3.0,0.0,7.0,114.0
2020/5/17 18:00,114.0,30.0,151.0,6.0,15.0,120.0,136.0,0.47,26.0,17.0,360.0,3.0,0.0,7.0,114.0
2020/5/17 19:00,102.0,35.0,154.0,6.0,14.0,113.0,138.0,0.45,24.0,28.0,45.0,2.0,0.0,8.0,102.0
2020/5/17 19:00,102.0,35.0,154.0,6.0,14.0,113.0,138.0,0.45,24.0,28.0,45.0,2.0,0.0,8.0,102.0
2020/5/17 20:00,86.0,39.0,121.0,6.0,15.0,108.0,135.0,0.4,22.0,1.0,360.0,2.0,0.0,8.0,94.0
2020/5/17 20:00,86.0,39.0,121.0,6.0,15.0,108.0,135.0,0.4,22.0,1.0,360.0,2.0,0.0,8.0,86.0
2020/5/17 21:00,93.0,42.0,135.0,6.0,18.0,101.0,129.0,0.35,21.0,318.0,315.0,2.0,0.0,9.0,93.0
2020/5/17 22:00,84.0,42.0,117.0,6.0,23.0,93.0,122.0,0.33,19.0,305.0,315.0,2.0,0.0,9.0,84.0
2020/5/17 23:00,90.0,43.0,130.0,8.0,21.0,89.0,114.0,0.43,18.0,48.0,45.0,1.0,0.0,10.0,90.0
2020/5/17 23:00,90.0,43.0,130.0,8.0,21.0,89.0,114.0,0.43,18.0,48.0,45.0,1.0,0.0,10.0,90.0
2020/5/18 0:00,100.0,45.0,150.0,7.0,20.0,86.0,106.0,0.4,17.0,264.0,270.0,1.0,0.0,12.0,100.0
2020/5/18 0:00,100.0,45.0,150.0,7.0,20.0,86.0,106.0,0.4,17.0,264.0,270.0,1.0,0.0,12.0,100.0
2020/5/18 1:00,100.0,44.0,150.0,6.0,23.0,80.0,80.0,0.33,15.0,263.0,270.0,2.0,0.0,14.0,100.0
2020/5/18 1:00,100.0,44.0,150.0,6.0,23.0,80.0,80.0,0.33,15.0,263.0,270.0,2.0,0.0,14.0,100.0
2020/5/18 2:00,89.0,41.0,127.0,6.0,27.0,73.0,76.0,0.27,14.0,275.0,270.0,2.0,0.0,17.0,89.0
2020/5/18 2:00,89.0,41.0,127.0,6.0,27.0,73.0,76.0,0.27,14.0,275.0,270.0,2.0,0.0,17.0,89.0
2020/5/18 3:00,86.0,43.0,121.0,7.0,42.0,53.0,69.0,0.3,13.0,343.0,360.0,1.0,0.0,23.0,86.0
2020/5/18 3:00,86.0,43.0,121.0,7.0,42.0,53.0,69.0,0.3,13.0,343.0,360.0,1.0,0.0,23.0,86.0
2020/5/18 4:00,92.0,43.0,134.0,8.0,59.0,27.0,58.0,0.3,13.0,144.0,135.0,2.0,0.0,20.0,92.0
2020/5/18 4:00,92.0,43.0,134.0,8.0,59.0,27.0,58.0,0.3,13.0,144.0,135.0,2.0,0.0,20.0,92.0
2020/5/18 5:00,92.0,42.0,134.0,10.0,55.0,26.0,52.0,0.3,11.0,198.0,180.0,2.0,0.0,29.0,92.0
2020/5/18 5:00,92.0,42.0,134.0,10.0,55.0,26.0,52.0,0.3,11.0,198.0,180.0,2.0,0.0,29.0,92.0
2020/5/18 6:00,94.0,43.4,137.0,8.0,55.0,24.0,47.0,0.35,9.0,284.0,270.0,1.0,0.0,29.0,94.0
2020/5/18 6:00,94.0,44.8,137.0,8.0,55.0,24.0,47.0,0.35,9.0,284.0,270.0,1.0,0.0,29.0,94.0
2020/5/18 7:00,108.0,46.2,165.0,20.0,57.0,25.0,44.0,0.83,12.0,180.0,180.0,2.0,0.0,29.0,107.0
2020/5/18 7:00,108.0,47.6,165.0,20.0,57.0,25.0,44.0,0.83,12.0,180.0,180.0,2.0,0.0,29.0,107.0
2020/5/18 8:00,107.0,49.0,163.0,26.0,54.0,34.0,43.0,1.05,14.0,135.0,135.0,2.0,0.0,27.0,107.0
2020/5/18 8:00,107.0,49.0,163.0,26.0,54.0,34.0,43.0,1.05,14.0,135.0,135.0,2.0,0.0,27.0,107.0
2020/5/18 9:00,94.0,41.0,137.0,28.0,45.0,42.0,38.0,1.25,16.0,146.0,135.0,2.0,0.0,24.0,100.5
2020/5/18 9:00,94.0,41.0,137.0,28.0,45.0,42.0,38.0,1.25,16.0,146.0,135.0,2.0,0.0,24.0,94.0
2020/5/18 10:00,89.0,38.0,127.0,25.0,42.0,58.0,36.0,1.13,18.0,131.0,135.0,2.0,0.0,18.0,89.0
2020/5/18 11:00,103.0,33.0,156.0,19.0,30.0,72.0,38.0,1.02,19.5,110.0,90.0,2.0,0.0,15.0,103.0
2020/5/18 11:00,103.0,33.0,156.0,19.0,30.0,72.0,38.0,1.02,21.0,110.0,90.0,2.0,0.0,12.0,103.0
2020/5/18 12:00,79.0,28.0,107.0,13.0,24.0,93.0,46.0,0.75,22.0,131.0,135.0,2.0,0.0,12.0,79.0
2020/5/18 12:00,79.0,28.0,107.0,13.0,24.0,93.0,46.0,0.75,22.0,131.0,135.0,2.0,0.0,12.0,79.0
2020/5/18 13:00,72.0,32.0,93.0,9.0,17.0,112.0,57.0,0.67,24.0,117.0,135.0,2.0,0.0,10.0,72.0
2020/5/18 13:00,72.0,32.0,93.0,9.0,17.0,112.0,57.0,0.67,24.0,117.0,135.0,2.0,0.0,10.0,72.0
2020/5/18 14:00,67.0,27.0,83.0,6.0,13.0,124.0,68.0,0.57,25.0,113.0,135.0,2.0,0.0,10.0,67.0
2020/5/18 14:00,67.0,27.0,83.0,6.0,13.0,124.0,68.0,0.57,25.0,113.0,135.0,2.0,0.0,10.0,67.0
2020/5/18 15:00,60.0,25.0,70.0,6.0,20.0,117.0,81.0,0.57,23.0,136.0,135.0,2.0,0.0,11.0,60.0
2020/5/18 15:00,60.0,25.0,70.0,6.0,20.0,117.0,81.0,0.57,23.0,136.0,135.0,2.0,0.0,11.0,60.0
2020/5/18 16:00,58.0,20.0,66.0,6.0,19.0,122.0,93.0,0.52,25.0,134.0,135.0,2.0,0.0,11.0,58.0
2020/5/18 16:00,58.0,20.0,66.0,6.0,19.0,122.0,93.0,0.52,25.0,134.0,135.0,2.0,0.0,11.0,58.0
2020/5/18 17:00,63.0,20.0,75.0,5.0,17.0,128.0,104.0,0.53,26.0,150.0,135.0,3.0,0.0,11.0,62.0
2020/5/18 17:00,63.0,20.0,75.0,5.0,17.0,128.0,104.0,0.53,26.0,150.0,135.0,3.0,0.0,11.0,62.0
2020/5/18 18:00,62.0,20.0,74.0,5.0,19.0,129.0,112.0,0.6,26.0,139.0,135.0,2.0,0.0,12.0,62.0
2020/5/18 18:00,62.0,20.0,74.0,5.0,19.0,129.0,112.0,0.6,26.0,139.0,135.0,2.0,0.0,12.0,62.0
2020/5/18 19:00,66.0,19.0,82.0,5.0,23.0,127.0,119.0,0.65,25.0,154.0,135.0,2.0,0.0,12.0,66.0
2020/5/18 19:00,66.0,19.0,82.0,5.0,23.0,127.0,119.0,0.65,25.0,154.0,135.0,2.0,0.0,12.0,66.0
2020/5/18 20:00,65.0,22.0,80.0,6.0,28.0,121.0,122.0,0.65,23.0,133.0,135.0,2.0,0.0,12.0,65.0
2020/5/18 20:00,65.0,22.0,80.0,6.0,28.0,121.0,122.0,0.65,23.0,133.0,135.0,2.0,0.0,12.0,65.0
2020/5/18 21:00,70.0,27.0,90.0,5.0,37.0,102.0,121.0,0.6,21.0,192.0,180.0,2.0,0.0,16.0,70.0
2020/5/18 21:00,70.0,27.0,90.0,5.0,37.0,102.0,121.0,0.6,21.0,192.0,180.0,2.0,0.0,16.0,70.0
2020/5/18 21:00,70.0,27.0,90.0,5.0,37.0,102.0,121.0,0.6,20.0,192.0,180.0,2.0,0.0,18.0,70.0
2020/5/18 22:00,74.0,30.0,97.0,6.0,50.0,80.0,116.0,0.73,19.0,172.0,180.0,2.0,0.0,20.0,73.0
2020/5/18 22:00,74.0,30.0,97.0,6.0,50.0,80.0,116.0,0.73,19.0,172.0,180.0,2.0,0.0,20.0,73.0
2020/5/18 23:00,75.0,31.0,99.0,6.0,56.0,70.0,110.0,0.65,18.0,144.0,135.0,2.0,0.0,28.0,75.0
2020/5/18 23:00,75.0,31.0,99.0,6.0,56.0,70.0,110.0,0.65,18.0,144.0,135.0,2.0,0.0,28.5,75.0
2020/5/18 23:00,75.0,31.0,99.0,6.0,56.0,70.0,110.0,0.65,18.0,90.0,90.0,3.0,0.0,29.0,76.5
2020/5/19 0:00,78.0,32.0,106.0,7.0,66.0,53.0,101.0,0.63,17.0,126.0,135.0,2.0,0.0,30.0,78.0
2020/5/19 0:00,78.0,32.0,106.0,7.0,66.0,53.0,101.0,0.63,17.0,126.0,135.0,2.0,0.0,30.0,78.0
2020/5/19 1:00,77.0,31.0,104.0,8.0,67.0,45.0,45.0,0.57,17.0,43.0,45.0,1.0,0.0,33.0,77.0
2020/5/19 1:00,77.0,31.0,104.0,8.0,67.0,45.0,45.0,0.57,17.0,43.0,45.0,1.0,0.0,33.0,77.0
2020/5/19 2:00,80.0,34.0,110.0,11.0,74.0,32.0,38.0,0.63,16.0,316.0,315.0,1.0,0.0,34.0,80.0
2020/5/19 2:00,80.0,34.0,110.0,11.0,74.0,32.0,38.0,0.63,16.0,316.0,315.0,1.0,0.0,34.0,80.0
2020/5/19 2:00,80.0,34.0,110.0,11.0,74.0,32.0,38.0,0.63,15.0,316.0,315.0,1.0,0.0,36.5,80.0
2020/5/19 3:00,82.0,35.0,113.0,10.0,75.0,23.0,33.0,0.58,14.0,8.0,360.0,1.0,0.0,39.0,81.0
2020/5/19 3:00,82.0,35.0,113.0,10.0,75.0,23.0,33.0,0.58,14.0,8.0,360.0,1.0,0.0,39.0,81.0
2020/5/19 4:00,79.0,39.0,107.0,8.0,77.0,16.0,29.0,0.6,13.0,279.0,270.0,1.0,0.0,42.0,79.0
2020/5/19 4:00,79.0,39.0,107.0,8.0,77.0,16.0,29.0,0.6,13.0,279.0,270.0,1.0,0.0,42.0,79.0
2020/5/19 5:00,86.0,40.0,122.0,8.0,75.0,15.0,26.0,0.6,12.0,282.0,270.0,1.0,0.0,46.0,86.0
2020/5/19 5:00,86.0,40.0,122.0,8.0,75.0,15.0,26.0,0.6,12.0,282.0,270.0,1.0,0.0,46.0,86.0
2020/5/19 5:00,86.0,40.0,122.0,8.0,75.0,15.0,26.0,0.6,12.0,282.0,270.0,1.0,0.0,46.0,86.0
2020/5/19 6:00,94.0,38.0,137.0,8.0,74.0,11.0,24.0,0.65,12.0,289.0,270.0,1.0,0.0,47.0,94.0
2020/5/19 6:00,94.0,38.0,137.0,8.0,74.0,11.0,24.0,0.65,12.0,289.0,270.0,1.0,0.0,47.0,94.0
2020/5/19 7:00,98.0,41.0,146.0,10.0,73.0,13.0,22.0,0.77,13.0,240.0,225.0,1.0,0.0,47.0,98.0
2020/5/19 7:00,98.0,41.0,146.0,10.0,73.0,13.0,22.0,0.77,13.0,240.0,225.0,1.0,0.0,47.0,98.0
2020/5/19 8:00,109.0,39.0,168.0,16.0,74.0,17.0,21.0,1.05,16.0,7.0,360.0,1.0,0.0,39.0,109.0
2020/5/19 8:00,109.0,39.0,168.0,16.0,74.0,17.0,21.0,1.05,16.0,7.0,360.0,1.0,0.0,39.0,109.0
2020/5/19 8:00,109.0,39.0,168.0,16.0,74.0,17.0,21.0,1.05,17.5,7.0,360.0,1.0,0.0,36.5,109.0
2020/5/19 9:00,97.0,40.0,143.0,21.666666666666668,68.0,40.0,21.0,1.13,19.0,5.0,360.0,2.0,0.0,34.0,97.0
2020/5/19 9:00,97.0,40.0,143.0,27.333333333333336,68.0,40.0,21.0,1.13,19.0,5.0,360.0,2.0,0.0,34.0,97.0
2020/5/19 10:00,82.0,36.0,113.0,33.0,65.0,70.0,24.0,1.1,20.0,103.0,90.0,2.0,0.0,27.0,82.0
2020/5/19 10:00,82.0,36.0,113.0,33.0,65.0,70.0,24.0,1.1,20.0,103.0,90.0,2.0,0.0,27.0,82.0
2020/5/19 11:00,76.0,35.0,102.0,26.0,60.0,130.0,38.0,0.98,22.0,44.0,45.0,2.0,0.0,25.0,79.0
2020/5/19 11:00,76.0,35.0,102.0,26.0,60.0,130.0,38.0,0.98,22.0,44.0,45.0,2.0,0.0,25.0,76.0
2020/5/19 11:00,76.0,35.0,102.0,26.0,60.0,130.0,38.0,0.98,22.0,44.0,45.0,2.0,0.0,25.0,76.0
2020/5/19 12:00,73.0,31.0,95.0,19.0,37.0,123.0,50.0,0.85,23.0,266.0,270.0,2.0,0.0,22.0,73.0
2020/5/19 12:00,73.0,31.0,95.0,19.0,37.0,123.0,50.0,0.85,23.0,266.0,270.0,2.0,0.0,22.0,73.0
2020/5/19 13:00,71.0,26.0,92.0,17.0,37.0,128.0,65.0,0.88,23.0,337.0,315.0,2.0,0.0,21.0,71.0
2020/5/19 13:00,71.0,26.0,92.0,17.0,37.0,128.0,65.0,0.88,23.0,337.0,315.0,2.0,0.0,21.0,71.0
2020/5/19 14:00,69.0,27.0,88.0,18.0,34.0,128.0,81.0,0.8,24.0,296.0,315.0,2.0,0.0,21.0,69.0
2020/5/19 14:00,69.0,27.0,88.0,18.0,34.0,128.0,81.0,0.8,24.0,296.0,315.0,2.0,0.0,21.0,69.0
2020/5/19 15:00,72.0,29.0,94.0,18.0,33.0,124.0,96.0,0.75,25.0,327.0,315.0,2.0,0.0,20.0,72.0
2020/5/19 15:00,72.0,29.0,94.0,18.0,33.0,124.0,96.0,0.75,25.0,327.0,315.0,2.0,0.0,20.0,72.0
2020/5/19 16:00,71.0,29.0,92.0,17.0,30.0,128.0,111.0,0.68,25.0,307.0,315.0,2.0,0.0,21.0,71.0
2020/5/19 16:00,71.0,29.0,92.0,17.0,30.0,128.0,111.0,0.68,25.0,307.0,315.0,2.0,0.0,21.0,71.0
2020/5/19 17:00,71.0,26.0,92.0,15.0,30.0,127.0,123.0,0.65,26.0,296.0,315.0,2.0,0.0,21.0,71.0
2020/5/19 17:00,71.0,26.0,92.0,15.0,30.0,127.0,123.0,0.65,26.0,296.0,315.0,2.0,0.0,21.0,71.0
2020/5/19 18:00,64.0,26.0,78.0,10.0,25.0,125.0,127.0,0.57,25.0,273.0,270.0,2.0,0.0,23.0,64.0
2020/5/19 18:00,64.0,26.0,78.0,10.0,25.0,125.0,127.0,0.57,25.0,273.0,270.0,2.0,0.0,23.0,64.0
2020/5/19 19:00,67.0,27.0,84.0,8.0,20.0,125.0,127.0,0.55,24.0,322.0,315.0,2.0,0.0,23.0,67.0
2020/5/19 19:00,67.0,27.0,84.0,8.0,20.0,125.0,127.0,0.55,24.0,322.0,315.0,2.0,0.0,23.0,67.0
2020/5/19 20:00,57.0,26.0,63.0,7.0,19.0,117.0,125.0,0.5,21.0,19.0,360.0,1.0,0.0,28.0,57.0
2020/5/19 20:00,57.0,26.0,63.0,7.0,19.0,117.0,125.0,0.5,21.0,19.0,360.0,1.0,0.0,28.0,57.0
2020/5/19 21:00,57.0,29.0,63.0,6.0,26.0,104.0,123.0,0.53,22.0,193.0,180.0,2.0,0.0,31.0,57.0
2020/5/19 21:00,57.0,29.0,63.0,6.0,26.0,104.0,123.0,0.53,22.0,193.0,180.0,2.0,0.0,31.0,57.0
2020/5/19 21:00,57.0,29.0,63.0,6.0,26.0,104.0,123.0,0.53,22.0,193.0,180.0,2.0,0.0,31.0,57.0
2020/5/19 22:00,55.0,29.0,60.0,7.0,47.0,73.0,116.0,0.63,20.0,142.0,135.0,2.0,0.0,36.0,55.0
2020/5/19 22:00,55.0,29.0,60.0,7.0,47.0,73.0,116.0,0.63,20.0,142.0,135.0,2.0,0.0,36.0,55.0
2020/5/19 23:00,63.0,27.0,76.0,7.0,82.0,28.0,103.0,0.75,18.0,147.0,135.0,2.0,0.0,44.0,75.0
2020/5/19 23:00,63.0,27.0,76.0,7.0,82.0,28.0,103.0,0.75,18.0,147.0,135.0,2.0,0.0,44.0,69.0
2020/5/19 23:00,63.0,27.0,76.0,7.0,82.0,28.0,103.0,0.75,18.0,147.0,135.0,2.0,0.0,44.0,63.0
2020/5/19 23:00,63.0,27.0,76.0,7.0,82.0,28.0,103.0,0.75,18.0,147.0,135.0,2.0,0.0,44.0,63.0
2020/5/20 0:00,69.0,27.0,88.0,9.0,74.0,33.0,92.0,0.85,18.0,59.0,45.0,1.0,0.0,51.0,69.0
2020/5/20 0:00,69.0,27.0,88.0,9.0,74.0,33.0,92.0,0.85,18.0,59.0,45.0,1.0,0.0,51.0,69.0
2020/5/20 0:00,69.0,27.0,88.0,9.0,74.0,33.0,92.0,0.85,18.0,59.0,45.0,1.0,0.0,51.0,67.5
2020/5/20 1:00,66.0,31.0,81.0,12.0,66.0,43.0,43.0,1.03,17.0,355.0,360.0,1.0,0.0,52.0,66.0
2020/5/20 1:00,66.0,31.0,81.0,12.0,66.0,43.0,43.0,1.03,17.0,355.0,360.0,1.0,0.0,52.0,66.0
2020/5/20 2:00,63.0,37.0,76.0,10.0,68.0,37.0,40.0,0.75,16.0,295.0,315.0,2.0,0.0,56.0,63.0
2020/5/20 2:00,63.0,37.0,76.0,10.0,68.0,37.0,40.0,0.75,16.0,295.0,315.0,2.0,0.0,56.0,63.0
2020/5/20 2:00,63.0,37.0,76.0,10.0,68.0,37.0,40.0,0.75,16.0,295.0,315.0,2.0,0.0,56.0,63.0
2020/5/20 3:00,69.0,24.0,88.0,9.0,71.0,27.0,36.0,0.75,16.0,12.0,360.0,1.0,0.0,53.0,69.0
2020/5/20 3:00,69.0,24.0,88.0,9.0,71.0,27.0,36.0,0.75,16.0,12.0,360.0,1.0,0.0,53.0,69.0
2020/5/20 3:00,69.0,24.0,88.0,9.0,71.0,27.0,36.0,0.75,16.0,12.0,360.0,1.0,0.0,53.0,72.5
2020/5/20 4:00,76.0,31.0,101.0,10.0,78.0,22.0,32.0,0.83,16.0,269.0,270.0,2.0,0.0,55.0,76.0
2020/5/20 4:00,76.0,31.0,101.0,10.0,78.0,22.0,32.0,0.83,16.0,269.0,270.0,2.0,0.0,55.0,76.0
2020/5/20 5:00,79.0,33.0,108.0,12.0,77.0,18.0,30.0,0.88,17.0,185.0,180.0,1.0,0.0,55.0,79.0
2020/5/20 5:00,79.0,33.0,108.0,12.0,77.0,18.0,30.0,0.88,17.0,185.0,180.0,1.0,0.0,55.0,79.0
2020/5/20 5:00,79.0,33.0,108.0,12.0,77.0,18.0,30.0,0.88,17.0,185.0,180.0,1.0,0.0,55.0,80.0
2020/5/20 6:00,82.0,36.0,114.0,12.0,77.0,16.0,27.0,1.03,17.0,283.0,270.0,1.0,0.0,63.0,81.0
2020/5/20 6:00,82.0,36.0,114.0,12.0,77.0,16.0,27.0,1.03,17.0,283.0,270.0,1.0,0.0,56.0,82.0
2020/5/20 6:00,82.0,36.0,114.0,12.0,77.0,16.0,27.0,1.03,17.0,283.0,270.0,1.0,0.0,56.0,82.0
2020/5/20 7:00,85.0,36.0,120.0,16.0,78.0,14.0,25.0,1.17,17.0,158.0,180.0,1.0,0.0,61.0,85.0
2020/5/20 7:00,85.0,36.0,120.0,16.0,78.0,14.0,25.0,1.17,17.0,158.0,180.0,1.0,0.0,61.0,85.0
2020/5/20 8:00,77.0,40.0,104.0,28.0,77.0,17.0,24.0,1.47,18.0,93.0,90.0,1.0,0.0,62.0,81.0
2020/5/20 8:00,77.0,40.0,104.0,28.0,77.0,17.0,24.0,1.47,18.0,93.0,90.0,1.0,0.0,62.0,77.0
2020/5/20 9:00,80.0,36.0,109.0,28.77777777777778,75.0,22.0,21.0,1.4866666666666666,19.0,79.0,90.0,1.0,0.0,51.0,80.0
2020/5/20 10:00,90.0,38.0,130.0,29.555555555555557,82.0,28.0,20.0,1.5033333333333334,19.0,67.0,45.0,1.0,0.0,48.0,90.0
2020/5/20 11:00,80.0,35.0,109.0,30.333333333333332,77.0,41.0,22.0,1.52,21.0,335.0,315.0,2.0,0.0,40.0,80.0
2020/5/20 12:00,79.0,29.0,107.0,31.11111111111111,64.0,73.0,28.0,1.08,22.0,337.0,315.0,2.0,0.0,31.0,78.0
2020/5/20 12:00,79.0,29.0,107.0,31.88888888888889,64.0,73.0,28.0,1.08,22.0,337.0,315.0,2.0,0.0,31.0,78.0
2020/5/20 12:00,79.0,29.0,107.0,32.666666666666664,64.0,73.0,28.0,1.08,22.0,337.0,315.0,2.0,0.0,31.0,74.0
2020/5/20 13:00,70.0,28.0,90.0,33.44444444444444,49.0,94.0,38.0,0.85,23.0,322.0,315.0,2.0,0.0,27.0,70.0
2020/5/20 13:00,70.0,28.0,90.0,34.22222222222222,49.0,94.0,38.0,0.85,23.0,322.0,315.0,2.0,0.0,27.0,70.0
2020/5/20 14:00,63.0,26.0,75.0,35.0,33.0,112.0,50.0,0.73,24.0,44.0,45.0,2.0,0.0,25.0,62.0
